Date,Open,High,Low,Close,Volume,Dividends
2023-04-04,166.15,166.38,164.66,165.18,46278300,0.0
2023-03-14,150.87,152.98,149.69,152.17,73695900,0.0
2023-03-20,154.65,157.39,153.73,156.97,73641400,0.0
2023-03-21,156.89,158.97,156.11,158.85,73938300,0.0
2023-07-06,189.58,191.76,188.94,191.55,45094300,0.0
2023-08-15,178.88,179.48,177.05,177.45,43622600,0.0
2023-04-26,162.62,164.83,162.36,163.31,45498800,0.0
2023-05-31,177.09,179.11,176.52,177.01,99625300,0.0
2023-05-19,176.15,176.15,174.7,174.92,55772400,0.0
2023-04-03,163.82,165.84,163.77,165.72,56976200,0.0
2023-08-10,179.24,180.51,177.36,177.73,54686900,0.0
2023-07-19,192.84,197.96,192.39,194.84,80507300,0.0
2023-02-03,147.4,156.71,147.2,153.84,154357300,0.0
2023-07-20,194.83,196.21,192.24,192.87,59581200,0.0
2023-05-10,172.55,173.56,171.43,173.09,53724500,0.0
2023-03-17,155.65,156.31,153.86,154.58,98944600,0.0
2023-03-06,153.37,155.87,153.04,153.41,87558000,0.0
2023-06-15,183.71,186.27,183.53,185.76,65433200,0.0
2023-02-21,149.79,150.89,148.01,148.07,58867200,0.0
