Date,Open,High,Low,Close,Volume,Dividends,Capital Gains
2023-02-09,91.49,91.49,91.28,91.28,403,0.0,0.0
2023-06-21,91.64,91.76,91.64,91.76,3501,0.0,0.0
2023-05-09,92.55,92.6,92.55,92.6,907,0.0,0.0
2023-07-18,91.87,91.87,91.7,91.7,1602,0.0,0.0
2023-08-24,90.73,90.73,90.73,90.73,3,0.0,0.0
2023-03-23,92.81,92.81,92.81,92.81,19,0.0,0.0
2023-04-17,92.13,92.13,92.11,92.11,226,0.0,0.0
2023-08-01,91.12,91.12,91.12,91.12,7,0.0,0.0
2023-08-21,90.44,90.44,90.4,90.41,663,0.0,0.0
2023-07-19,91.83,91.84,91.83,91.83,241,0.0,0.0
2023-03-09,90.43,90.43,90.43,90.43,94,0.0,0.0
2023-03-16,91.64,91.64,91.64,91.64,61,0.0,0.0
2023-03-24,92.84,92.84,92.84,92.84,38,0.0,0.0
2023-05-12,93.03,93.03,92.79,92.79,1048,0.0,0.0
2023-03-10,91.13,91.13,91.13,91.13,66,0.0,0.0
2023-08-02,91.05,91.05,91.05,91.05,48,0.0,0.0
2023-05-23,92.02,92.02,91.98,91.98,407,0.0,0.0
2023-07-03,91.12,91.12,91.12,91.12,114,0.0,0.0
2023-02-08,91.48,91.48,91.48,91.48,1550,0.0,0.0
2023-04-06,92.92,92.92,92.92,92.92,100,0.0,0.0
2023-08-07,91.26,91.29,91.26,91.26,2623,0.0,0.0
2023-04-10,92.49,92.49,92.49,92.49,4,0.0,0.0
2023-08-04,91.06,91.33,91.06,91.33,1528,0.0,0.0
2023-06-01,92.25,92.25,92.2,92.24,1037,0.0,0.0
2023-07-27,91.26,91.29,91.06,91.09,35551,0.0,0.0
2023-04-21,92.21,92.26,92.21,92.26,1090,0.0,0.0
2023-07-07,90.61,90.61,90.61,90.61,5,0.0,0.0
2023-08-14,90.75,90.75,90.75,90.75,2,0.0,0.0
2023-03-30,91.88,91.88,91.88,91.88,2,0.0,0.0
2023-04-11,92.51,92.51,92.47,92.47,168,0.0,0.0
2023-02-15,90.83,90.83,90.83,90.83,8,0.0,0.0
2023-05-08,92.64,92.7,92.56,92.58,5138,0.0,0.0
2023-05-10,92.86,92.94,92.86,92.94,261,0.0,0.0
2023-05-30,91.67,91.9,91.67,91.9,3606,0.0,0.0
2023-02-23,90.53,90.59,90.53,90.59,202,0.0,0.0
2023-05-16,92.56,92.56,92.56,92.56,25,0.0,0.0
2023-06-05,91.91,91.91,91.91,91.91,4,0.0,0.0
2023-04-24,92.32,92.4,92.32,92.4,1011,0.0,0.0
2023-03-01,90.15,90.21,90.15,90.21,272,0.0,0.0
2023-01-23,91.93,91.99,91.93,91.96,1839,0.0,0.0
2023-02-16,90.83,90.83,90.83,90.83,401,0.0,0.0
2023-09-01,91.09,91.09,91.09,91.09,2,0.0,0.0
2023-06-30,91.27,91.27,91.27,91.27,78,0.0,0.0
2023-01-09,91.43,91.6,91.43,91.6,3790,0.0,0.0
2023-08-17,90.53,90.55,90.53,90.55,468,0.0,0.0
2023-04-19,92.01,92.01,92.01,92.01,3,0.0,0.0
2023-06-06,91.86,91.86,91.86,91.86,5,0.0,0.0
2023-07-31,91.39,91.45,91.31,91.35,6198,0.0,0.0
2023-05-19,91.97,91.97,91.97,91.97,5,0.0,0.0
2023-04-04,92.74,92.82,92.74,92.82,973,0.0,0.0
2023-04-26,92.76,92.76,92.76,92.76,58,0.0,0.0
2023-04-14,92.36,92.36,92.36,92.36,104,0.0,0.0
2023-07-14,91.71,91.73,91.71,91.72,57723,0.0,0.0
